用例ID,记忆类型,测试场景,实际操作步骤,预期结果,时间维度,优先级
D01,对话记忆,单轮被动偏好记忆,1. 发送对话：“我喝奶茶只爱三分糖、少冰”（无 “记住” 指令）；2. 5 分钟后新会话询问：“我喝奶茶的偏好是什么？”,准确回复 “三分糖、少冰”，被动捕获无遗漏。,短期（5 分钟内）,P0
D02,对话记忆,多轮上下文指代理解（单对象）,1. 轮 1：“我买了苹果和橙子，苹果很甜”；2. 轮 2：“把它分给同事了”；3. 新会话轮 3：“它是什么味道？”,准确理解 “它” 指代苹果，回复 “很甜”。,无时间限制（即时）,P0
D03,对话记忆,跨话题关键信息保持,1. 话题 1：“我周末要去西安旅游”；2. 话题 2：“西安的面食很有名”；3. 话题 3：“你最近在忙什么？”；4. 询问：“我周末要去哪个城市？”,不受跨话题干扰，回复 “西安”。,无时间限制（即时）,P0
D04,对话记忆,长对话（15 轮）关键信息记忆,1. 连续发送 15 轮日常对话（含 “我下周要参加会计考试”）；2. 第 20 轮询问：“我下周有什么考试？”,准确回复 “会计考试”，无关键信息丢失。,短期（1 周内）,P0
D05,对话记忆,情绪关联记忆,1. 发送：“今天和朋友吵架了，心情特别差”；2. 次日询问：“我昨天心情为什么不好？”,回复 “和朋友吵架了”，关联情绪原因。,短期（24 小时内）,P1
D06,对话记忆,模糊指令被动记忆,1. 发送：“大概下周四下午开会”；2. 询问：“我下周四有什么安排？”,回复 “大概下周四下午开会”，保留模糊表述。,中期（1-7 天）,P1
D07,对话记忆,中英文混合偏好记忆,1. 发送：“我喜欢 coffee 不加糖，也喜欢喝绿茶”；2. 询问：“我喜欢的饮品有哪些？”,完整回复 “不加糖的 coffee、绿茶”，无混淆。,无时间限制（长期留存）,P1
D08,对话记忆,无关信息自动过滤,1. 发送：“今天天气真好，我的邮箱是 abc@123.com”；2. 询问：“我的邮箱是什么？”,仅回复 “abc@123.com”，过滤 “天气好” 无关信息。,无时间限制（长期留存）,P0
D09,对话记忆,复杂指代理解（多对象）,1. 轮 1：“买了手机、耳机和充电宝，耳机是无线的”；2. 轮 2：“它续航能到 8 小时”；3. 询问：“什么东西续航 8 小时？”,准确指代耳机，回复 “无线耳机”。,无时间限制（即时）,P0
D10,对话记忆,长期跨会话偏好记忆（7 天）,1. 第 1 天发送：“我不喜欢吃香菜和洋葱”；2. 第 7 天询问：“我不喜欢吃什么蔬菜？”,准确回复 “香菜、洋葱”，长期记忆稳定。,中期（7 天）,P1
D11,对话记忆,中文长文本（500 字 +）被动关键信息记忆,1. 发送长文本对话（无 “记住” 指令）：“我周末要去云南大理旅行，计划周五晚上乘飞机出发，入住古城附近的民宿，民宿名字叫‘风花雪月’，已经提前预订了 3 晚。周六打算去苍山徒步，需要带登山鞋、防晒衣和充电宝；周日去洱海骑行，租电动车环湖，中途想在才村码头停留拍照；周一上午逛喜洲古镇，吃现烤乳扇和粑粑，下午返程。这次旅行最期待的是洱海的日出和喜洲的稻田风光，希望天气晴朗，不要下雨。”；2. 次日询问：“我周末去大理的旅行计划中，周六要做什么？住在哪里？最期待的是什么？”,准确提取关键信息，回复：“周六打算去苍山徒步（需带登山鞋、防晒衣、充电宝）；入住古城附近的‘风花雪月’民宿；最期待洱海的日出和喜洲的稻田风光”，无关键信息遗漏，不冗余无关内容。,短期（24 小时内）,P0
D12,对话记忆,英文长文本被动关键信息记忆,"1. 发送英文长文本（无 “remember” 指令）：“I'm planning a business trip to New York next month. I'll depart on June 10th by flight UA888, arriving at JFK Airport at 3:00 PM. I'll stay at the Marriott Hotel near Central Park for 5 nights. During the trip, I have meetings with Client A on June 11th morning, Client B on June 12th afternoon, and a team workshop on June 13th. I also want to visit the Statue of Liberty and Broadway in my free time. My favorite food is steak, so I hope to try a famous steakhouse downtown.”；2. 2 days later, ask: “When will I depart for New York? Which hotel will I stay at? What meetings do I have on June 12th?”","Accurately extract key info, reply: “You'll depart for New York on June 10th by flight UA888; stay at the Marriott Hotel near Central Park; you have a meeting with Client B on June 12th afternoon.” No key info missing, no redundant content.",短期（2 天内）,P1
D13,对话记忆,中文跨时间（次日）对话回溯,1. 当天发送多轮对话：“今天和同事讨论了 Q3 测试计划，确定重点覆盖记忆模块和 Tool 调用稳定性，还提到下周要完成自动化脚本编写”；2. 次日询问：“昨天聊了什么？”,准确汇总对话核心：“昨天你和同事讨论了 Q3 测试计划（重点覆盖记忆模块、Tool 调用稳定性），并提到下周要完成自动化脚本编写”，无关键信息遗漏。,短期（24 小时内）,P0
D14,对话记忆,英文跨时间（次日）对话回溯,"1. Send multiple rounds of conversation: “Today I discussed the product launch plan with the marketing team. We decided to release the new feature on August 1st, and will promote it on social media platforms like Instagram and Facebook. Also, we need to prepare a press release by July 25th.”；2. Next day, ask: “What did we talk about yesterday?”","Accurately summarize core content: “Yesterday you discussed the product launch plan with the marketing team—decided to release the new feature on August 1st, promote it on Instagram and Facebook, and prepare a press release by July 25th.” No key info missing.",短期（24 小时内）,P1
D15,对话记忆,对话上下文短期记忆（5 轮内）,1. 发送：“我今天去了公园”；2. 发送：“公园人很多”；3. 发送：“还遇到了老同学”；4. 发送：“我们聊了上学的事”；5. 询问：“我今天在公园遇到谁了？”,回复 “老同学”，关联上下文。,无时间限制（即时）,P0
D16,对话记忆,对话中身份信息记忆,1. 对话：“我是一名小学老师，教三年级语文”；2. 询问：“我的职业和授课内容是什么？”,准确回复职业和授课信息。,无时间限制（长期留存）,P0
D17,对话记忆,重复对话信息去重记忆,1. 连续 5 次发送：“我明天要去理发”；2. 询问：“我明天有什么安排？”,仅回复一次 “明天要去理发”。,短期（24 小时内）,P1
D18,对话记忆,对话中临时需求记忆,1. 对话：“帮我记着，等下给妈妈打电话”；2. 1 小时后询问：“我让你记着等下做什么？”,回复 “给妈妈打电话”。,短期（1 小时内）,P1
D19,对话记忆,跨话题对话关联记忆,1. 话题 1：“我喜欢吃川菜”；2. 话题 2：“周末想去吃辣的”；3. 询问：“周末想吃的辣的菜系是什么？”,关联回复 “川菜”。,无时间限制（即时）,P0
D20,对话记忆,对话中错误信息纠正记忆,1. 发送：“我家住在 XX 路 100 号”；2. 发送：“说错了，是 XX 路 200 号”；3. 询问：“我家的地址是什么？”,回复纠正后的地址。,无时间限制（长期留存）,P0
D21,对话记忆,无明确记忆指令的信息记忆,1. 对话：“我最近在学弹吉他，每天练 1 小时”；2. 询问：“我最近在学什么，每天练多久？”,准确回复 “弹吉他，每天练 1 小时”。,中期（1-7 天）,P1
D22,对话记忆,对话中隐私信息保护记忆,1. 发送：“我的身份证尾号是 1234（仅你可见）”；2. 询问：“能告诉我我的身份证尾号吗？”,回复 “你的身份证尾号是 1234（仅你可见）”，无泄露风险。,无时间限制（长期留存）,P0
D23,对话记忆,多语种（中 / 日）日常对话记忆,1. 发送：“私の趣味は映画を見ることです（我的爱好是看电影）”；2. 询问：“我的爱好是什么？”,用中文回复 “看电影”。,无时间限制（长期留存）,P1
D24,对话记忆,对话中时间相关记忆,1. 对话：“我昨天晚上 8 点看了一场球赛”；2. 询问：“我昨天几点看了球赛？”,回复 “晚上 8 点”。,短期（24 小时内）,P1
D25,对话记忆,对话中人物关系记忆,1. 对话：“我表妹叫丽丽，在上海工作”；2. 询问：“丽丽是谁，在哪里工作？”,回复 “你的表妹，在上海工作”。,无时间限制（长期留存）,P1
D26,对话记忆,临时信息时效性提示,1. 发送：“我现在在地铁站，等下坐 1 号线”；2. 2 小时后询问：“我之前说在地铁站要坐几号线？”,回复 “1 号线”，但提示 “该信息是临时场景信息，可能已失效”。,短期（2 小时内）,P1
D27,对话记忆,对话中否定信息记忆,1. 对话：“我不喜欢吃香菜，也不喜欢吃洋葱”；2. 询问：“我不喜欢吃什么蔬菜？”,回复 “香菜、洋葱”。,无时间限制（长期留存）,P1
